words,start,end,transcript,WER,filename
choking trojan,31.51,33.349,"[{'word': 'choking', 'start': 0.0, 'end': 0.442}, {'word': 'trojan', 'start': 0.589, 'end': 1.839}]",0.0,6b1d4fbed2a64f8eb200da21a47914c7-9.wav
drunk on immorality,84.966,87.099,"[{'word': 'drunk', 'start': 0.0, 'end': 0.221}, {'word': 'on', 'start': 0.294, 'end': 0.515}, {'word': 'immorality', 'start': 0.589, 'end': 2.133}]",0.0,6b1d4fbed2a64f8eb200da21a47914c7-26.wav
coke and extasy,90.26,91.805,"[{'word': 'coke', 'start': 0.0, 'end': 0.221}, {'word': 'and', 'start': 0.295, 'end': 0.442}, {'word': 'extasy', 'start': 0.589, 'end': 1.545}]",0.0,6b1d4fbed2a64f8eb200da21a47914c7-28.wav
or more,104.378,105.04,"[{'word': 'or', 'start': 0.0, 'end': 0.147}, {'word': 'more', 'start': 0.294, 'end': 0.662}]",0.0,6b1d4fbed2a64f8eb200da21a47914c7-32.wav
crazy,14.567,15.51,"[{'word': 'crazy', 'start': 0.0, 'end': 0.943}]",0.0,6b24e9d4ff924e638d1715e773259360-0.wav
that mylove,100.067,101.696,"[{'word': 'that', 'start': 0.0, 'end': 0.214}, {'word': 'mylove', 'start': 0.386, 'end': 1.629}]",0.0,6b24e9d4ff924e638d1715e773259360-20.wav
could hold you,102.467,106.153,"[{'word': 'could', 'start': 0.0, 'end': 0.257}, {'word': 'hold', 'start': 0.3, 'end': 0.643}, {'word': 'you', 'start': 0.729, 'end': 3.686}]",0.0,6b24e9d4ff924e638d1715e773259360-21.wav
you,150.681,158.953,"[{'word': 'you', 'start': 0.0, 'end': 8.272}]",0.0,6b24e9d4ff924e638d1715e773259360-34.wav
who is,12.911,13.745,"[{'word': 'who', 'start': 0.0, 'end': 0.179}, {'word': 'is', 'start': 0.239, 'end': 0.834}]",0.0,6b2c86be3d8b4166b515575c8b2066e0-2.wav
who is,20.53,21.364,"[{'word': 'who', 'start': 0.0, 'end': 0.179}, {'word': 'is', 'start': 0.239, 'end': 0.834}]",0.0,6b2c86be3d8b4166b515575c8b2066e0-7.wav
she laid down,24.578,25.888,"[{'word': 'she', 'start': 0.0, 'end': 0.179}, {'word': 'laid', 'start': 0.238, 'end': 0.595}, {'word': 'down', 'start': 0.714, 'end': 1.31}]",0.0,6b2c86be3d8b4166b515575c8b2066e0-9.wav
but she tied one on big time,32.197,35.769,"[{'word': 'but', 'start': 0.0, 'end': 0.179}, {'word': 'she', 'start': 0.238, 'end': 0.595}, {'word': 'tied', 'start': 0.714, 'end': 1.072}, {'word': 'one', 'start': 1.191, 'end': 1.369}, {'word': 'on', 'start': 1.429, 'end': 1.786}, {'word': 'big', 'start': 1.905, 'end': 2.262}, {'word': 'time', 'start': 2.381, 'end': 3.572}]",0.0,6b2c86be3d8b4166b515575c8b2066e0-13.wav
to back in the days,39.578,41.364,"[{'word': 'to', 'start': 0.0, 'end': 0.179}, {'word': 'back', 'start': 0.238, 'end': 0.595}, {'word': 'in', 'start': 0.714, 'end': 0.893}, {'word': 'the', 'start': 0.952, 'end': 1.131}, {'word': 'days', 'start': 1.191, 'end': 1.786}]",0.0,6b2c86be3d8b4166b515575c8b2066e0-15.wav
a schizophrenic psycho,67.197,69.221,"[{'word': 'a', 'start': 0.0, 'end': 0.179}, {'word': 'schizophrenic', 'start': 0.238, 'end': 1.131}, {'word': 'psycho', 'start': 1.191, 'end': 2.024}]",0.0,6b2c86be3d8b4166b515575c8b2066e0-30.wav
she laid down,77.911,79.221,"[{'word': 'she', 'start': 0.0, 'end': 0.179}, {'word': 'laid', 'start': 0.239, 'end': 0.596}, {'word': 'down', 'start': 0.715, 'end': 1.31}]",0.0,6b2c86be3d8b4166b515575c8b2066e0-37.wav
on the sidewalk,79.34,81.245,"[{'word': 'on', 'start': 0.0, 'end': 0.179}, {'word': 'the', 'start': 0.238, 'end': 0.417}, {'word': 'sidewalk', 'start': 0.476, 'end': 1.905}]",0.0,6b2c86be3d8b4166b515575c8b2066e0-38.wav
she is something,85.53,86.9,"[{'word': 'she', 'start': 0.0, 'end': 0.179}, {'word': 'is', 'start': 0.239, 'end': 0.596}, {'word': 'something', 'start': 0.715, 'end': 1.37}]",0.0,6b2c86be3d8b4166b515575c8b2066e0-41.wav
simply beautiful,86.959,88.864,"[{'word': 'simply', 'start': 0.0, 'end': 0.417}, {'word': 'beautiful', 'start': 0.476, 'end': 1.905}]",0.0,6b2c86be3d8b4166b515575c8b2066e0-42.wav
when we were young,94.816,96.721,"[{'word': 'when', 'start': 0.0, 'end': 0.179}, {'word': 'we', 'start': 0.238, 'end': 0.595}, {'word': 'were', 'start': 0.714, 'end': 1.072}, {'word': 'young', 'start': 1.191, 'end': 1.905}]",0.0,6b2c86be3d8b4166b515575c8b2066e0-46.wav
in any minute,101.959,104.102,"[{'word': 'in', 'start': 0.0, 'end': 0.179}, {'word': 'any', 'start': 0.238, 'end': 0.655}, {'word': 'minute', 'start': 0.714, 'end': 2.143}]",0.0,6b2c86be3d8b4166b515575c8b2066e0-50.wav
who is,111.959,112.733,"[{'word': 'who', 'start': 0.0, 'end': 0.179}, {'word': 'is', 'start': 0.238, 'end': 0.774}]",0.0,6b2c86be3d8b4166b515575c8b2066e0-55.wav
who is,119.578,120.352,"[{'word': 'who', 'start': 0.0, 'end': 0.179}, {'word': 'is', 'start': 0.238, 'end': 0.774}]",0.0,6b2c86be3d8b4166b515575c8b2066e0-60.wav
i am the one,124.34,125.888,"[{'word': 'i', 'start': 0.0, 'end': 0.179}, {'word': 'am', 'start': 0.238, 'end': 0.595}, {'word': 'the', 'start': 0.714, 'end': 0.893}, {'word': 'one', 'start': 0.952, 'end': 1.548}]",0.0,6b2c86be3d8b4166b515575c8b2066e0-63.wav
i am the one,131.959,133.507,"[{'word': 'i', 'start': 0.0, 'end': 0.179}, {'word': 'am', 'start': 0.238, 'end': 0.595}, {'word': 'the', 'start': 0.714, 'end': 0.893}, {'word': 'one', 'start': 0.952, 'end': 1.548}]",0.0,6b2c86be3d8b4166b515575c8b2066e0-67.wav
you are the one,139.578,141.126,"[{'word': 'you', 'start': 0.0, 'end': 0.179}, {'word': 'are', 'start': 0.238, 'end': 0.595}, {'word': 'the', 'start': 0.714, 'end': 0.893}, {'word': 'one', 'start': 0.952, 'end': 1.548}]",0.0,6b2c86be3d8b4166b515575c8b2066e0-71.wav
and you know we gonna,157.911,159.757,"[{'word': 'and', 'start': 0.0, 'end': 0.179}, {'word': 'you', 'start': 0.239, 'end': 0.596}, {'word': 'know', 'start': 0.715, 'end': 1.072}, {'word': 'we', 'start': 1.191, 'end': 1.369}, {'word': 'gonna', 'start': 1.429, 'end': 1.846}]",0.0,6b2c86be3d8b4166b515575c8b2066e0-80.wav
win again,159.816,161.483,"[{'word': 'win', 'start': 0.0, 'end': 0.417}, {'word': 'again', 'start': 0.476, 'end': 1.667}]",0.0,6b2c86be3d8b4166b515575c8b2066e0-81.wav
i am the one,177.673,179.221,"[{'word': 'i', 'start': 0.0, 'end': 0.179}, {'word': 'am', 'start': 0.238, 'end': 0.596}, {'word': 'the', 'start': 0.715, 'end': 0.893}, {'word': 'one', 'start': 0.953, 'end': 1.548}]",0.0,6b2c86be3d8b4166b515575c8b2066e0-92.wav
the schizophrenic psycho,180.292,183.507,"[{'word': 'the', 'start': 0.0, 'end': 0.179}, {'word': 'schizophrenic', 'start': 0.238, 'end': 2.024}, {'word': 'psycho', 'start': 2.143, 'end': 3.215}]",0.0,6b2c86be3d8b4166b515575c8b2066e0-94.wav
the schizophrenic psycho,187.911,191.126,"[{'word': 'the', 'start': 0.0, 'end': 0.179}, {'word': 'schizophrenic', 'start': 0.239, 'end': 2.024}, {'word': 'psycho', 'start': 2.143, 'end': 3.215}]",0.0,6b2c86be3d8b4166b515575c8b2066e0-98.wav
together we cry,22.686,24.402,"[{'word': 'together', 'start': 0.0, 'end': 0.639}, {'word': 'we', 'start': 0.679, 'end': 0.958}, {'word': 'cry', 'start': 0.998, 'end': 1.716}]",0.0,6b4369a6c8704cc4936368fc85dbfa5b-2.wav
named her baby hope,35.891,36.809,"[{'word': 'named', 'start': 0.0, 'end': 0.08}, {'word': 'her', 'start': 0.16, 'end': 0.24}, {'word': 'baby', 'start': 0.319, 'end': 0.599}, {'word': 'hope', 'start': 0.638, 'end': 0.918}]",0.0,6b4369a6c8704cc4936368fc85dbfa5b-6.wav
could have gone the whole way,55.439,56.636,"[{'word': 'could', 'start': 0.0, 'end': 0.12}, {'word': 'have', 'start': 0.16, 'end': 0.239}, {'word': 'gone', 'start': 0.319, 'end': 0.399}, {'word': 'the', 'start': 0.479, 'end': 0.559}, {'word': 'whole', 'start': 0.638, 'end': 0.918}, {'word': 'way', 'start': 0.957, 'end': 1.197}]",0.0,6b4369a6c8704cc4936368fc85dbfa5b-17.wav
man you wanna see this kid,61.662,62.74,"[{'word': 'man', 'start': 0.0, 'end': 0.12}, {'word': 'you', 'start': 0.16, 'end': 0.28}, {'word': 'wanna', 'start': 0.32, 'end': 0.599}, {'word': 'see', 'start': 0.639, 'end': 0.758}, {'word': 'this', 'start': 0.798, 'end': 0.918}, {'word': 'kid', 'start': 0.958, 'end': 1.078}]",0.0,6b4369a6c8704cc4936368fc85dbfa5b-22.wav
the words of a lullaby,72.912,74.708,"[{'word': 'the', 'start': 0.0, 'end': 0.12}, {'word': 'words', 'start': 0.16, 'end': 0.439}, {'word': 'of', 'start': 0.479, 'end': 0.599}, {'word': 'a', 'start': 0.639, 'end': 0.758}, {'word': 'lullaby', 'start': 0.798, 'end': 1.796}]",0.0,6b4369a6c8704cc4936368fc85dbfa5b-28.wav
woh,83.843,85.2,"[{'word': 'woh', 'start': 0.0, 'end': 1.357}]",0.0,6b4369a6c8704cc4936368fc85dbfa5b-31.wav
she wanna be a politician,102.553,103.95,"[{'word': 'she', 'start': 0.0, 'end': 0.12}, {'word': 'wanna', 'start': 0.2, 'end': 0.479}, {'word': 'be', 'start': 0.519, 'end': 0.639}, {'word': 'a', 'start': 0.679, 'end': 0.758}, {'word': 'politician', 'start': 0.838, 'end': 1.397}]",0.0,6b4369a6c8704cc4936368fc85dbfa5b-36.wav
at some point every rose has to die,150.186,152.7,"[{'word': 'at', 'start': 0.0, 'end': 0.12}, {'word': 'some', 'start': 0.16, 'end': 0.359}, {'word': 'point', 'start': 0.479, 'end': 0.639}, {'word': 'every', 'start': 0.798, 'end': 1.077}, {'word': 'rose', 'start': 1.117, 'end': 1.476}, {'word': 'has', 'start': 1.516, 'end': 1.676}, {'word': 'to', 'start': 1.716, 'end': 1.875}, {'word': 'die', 'start': 2.035, 'end': 2.514}]",0.0,6b4369a6c8704cc4936368fc85dbfa5b-57.wav
feed a man for life,159.162,160.12,"[{'word': 'feed', 'start': 0.0, 'end': 0.12}, {'word': 'a', 'start': 0.16, 'end': 0.24}, {'word': 'man', 'start': 0.32, 'end': 0.439}, {'word': 'for', 'start': 0.479, 'end': 0.599}, {'word': 'life', 'start': 0.639, 'end': 0.958}]",0.0,6b4369a6c8704cc4936368fc85dbfa5b-62.wav
show your kids the truth,160.758,161.596,"[{'word': 'show', 'start': 0.0, 'end': 0.12}, {'word': 'your', 'start': 0.16, 'end': 0.279}, {'word': 'kids', 'start': 0.319, 'end': 0.519}, {'word': 'the', 'start': 0.559, 'end': 0.678}, {'word': 'truth', 'start': 0.718, 'end': 0.838}]",0.0,6b4369a6c8704cc4936368fc85dbfa5b-63.wav
to teach us how to fly,171.888,172.966,"[{'word': 'to', 'start': 0.0, 'end': 0.12}, {'word': 'teach', 'start': 0.16, 'end': 0.28}, {'word': 'us', 'start': 0.32, 'end': 0.439}, {'word': 'how', 'start': 0.479, 'end': 0.599}, {'word': 'to', 'start': 0.639, 'end': 0.758}, {'word': 'fly', 'start': 0.798, 'end': 1.078}]",0.0,6b4369a6c8704cc4936368fc85dbfa5b-70.wav
together we cry,200.013,202.168,"[{'word': 'together', 'start': 0.0, 'end': 0.639}, {'word': 'we', 'start': 0.719, 'end': 0.998}, {'word': 'cry', 'start': 1.038, 'end': 2.155}]",0.0,6b4369a6c8704cc4936368fc85dbfa5b-80.wav
together we cry,205.279,207.075,"[{'word': 'together', 'start': 0.0, 'end': 0.599}, {'word': 'we', 'start': 0.639, 'end': 0.918}, {'word': 'cry', 'start': 0.958, 'end': 1.796}]",0.0,6b4369a6c8704cc4936368fc85dbfa5b-81.wav
a place called home,32.101,33.43,"[{'word': 'a', 'start': 0.0, 'end': 0.111}, {'word': 'place', 'start': 0.221, 'end': 0.72}, {'word': 'called', 'start': 0.831, 'end': 0.941}, {'word': 'home', 'start': 1.052, 'end': 1.329}]",0.0,6b547d2ad77b4175b08154892956975f-2.wav
leaves have fallen,35.755,37.361,"[{'word': 'leaves', 'start': 0.0, 'end': 0.222}, {'word': 'have', 'start': 0.332, 'end': 0.609}, {'word': 'fallen', 'start': 0.775, 'end': 1.606}]",0.0,6b547d2ad77b4175b08154892956975f-4.wav
it tears me up to go,67.757,70.249,"[{'word': 'it', 'start': 0.0, 'end': 0.056}, {'word': 'tears', 'start': 0.166, 'end': 0.554}, {'word': 'me', 'start': 0.72, 'end': 0.886}, {'word': 'up', 'start': 0.997, 'end': 1.163}, {'word': 'to', 'start': 1.274, 'end': 1.661}, {'word': 'go', 'start': 1.827, 'end': 2.492}]",0.0,6b547d2ad77b4175b08154892956975f-19.wav
because i feel so scared,170.352,172.124,"[{'word': 'because', 'start': 0.0, 'end': 0.277}, {'word': 'i', 'start': 0.443, 'end': 0.554}, {'word': 'feel', 'start': 0.665, 'end': 0.941}, {'word': 'so', 'start': 1.052, 'end': 1.329}, {'word': 'scared', 'start': 1.495, 'end': 1.772}]",0.0,6b547d2ad77b4175b08154892956975f-41.wav
when i hear your name,46.781,48.903,"[{'word': 'when', 'start': 0.0, 'end': 0.198}, {'word': 'i', 'start': 0.296, 'end': 0.444}, {'word': 'hear', 'start': 0.494, 'end': 1.184}, {'word': 'your', 'start': 1.283, 'end': 1.579}, {'word': 'name', 'start': 1.678, 'end': 2.122}]",0.0,6b5924f8d7c144858c8c502f14f0151d-7.wav
when i had the chance,72.636,74.808,"[{'word': 'when', 'start': 0.0, 'end': 0.099}, {'word': 'i', 'start': 0.198, 'end': 0.395}, {'word': 'had', 'start': 0.494, 'end': 0.987}, {'word': 'the', 'start': 1.185, 'end': 1.481}, {'word': 'chance', 'start': 1.579, 'end': 2.172}]",0.0,6b5924f8d7c144858c8c502f14f0151d-15.wav
cause all you wanted to do was dance,77.669,81.617,"[{'word': 'cause', 'start': 0.0, 'end': 0.198}, {'word': 'all', 'start': 0.296, 'end': 0.592}, {'word': 'you', 'start': 0.691, 'end': 0.987}, {'word': 'wanted', 'start': 1.086, 'end': 1.629}, {'word': 'to', 'start': 1.678, 'end': 1.875}, {'word': 'do', 'start': 1.974, 'end': 2.171}, {'word': 'was', 'start': 2.369, 'end': 2.665}, {'word': 'dance', 'start': 2.764, 'end': 3.948}]",0.0,6b5924f8d7c144858c8c502f14f0151d-17.wav
the mess i made,109.84,111.617,"[{'word': 'the', 'start': 0.0, 'end': 0.099}, {'word': 'mess', 'start': 0.198, 'end': 0.395}, {'word': 'i', 'start': 0.593, 'end': 0.889}, {'word': 'made', 'start': 1.086, 'end': 1.777}]",0.0,6b5924f8d7c144858c8c502f14f0151d-26.wav
i close my eyes,115.465,117.834,"[{'word': 'i', 'start': 0.0, 'end': 0.198}, {'word': 'close', 'start': 0.296, 'end': 1.185}, {'word': 'my', 'start': 1.481, 'end': 1.678}, {'word': 'eyes', 'start': 1.875, 'end': 2.369}]",0.0,6b5924f8d7c144858c8c502f14f0151d-29.wav
cause all you wanted to do was dance,146.847,150.696,"[{'word': 'cause', 'start': 0.0, 'end': 0.099}, {'word': 'all', 'start': 0.197, 'end': 0.493}, {'word': 'you', 'start': 0.592, 'end': 0.888}, {'word': 'wanted', 'start': 0.987, 'end': 1.53}, {'word': 'to', 'start': 1.579, 'end': 1.776}, {'word': 'do', 'start': 1.875, 'end': 2.171}, {'word': 'was', 'start': 2.27, 'end': 2.566}, {'word': 'dance', 'start': 2.664, 'end': 3.849}]",0.0,6b5924f8d7c144858c8c502f14f0151d-39.wav
when he has the chance,194.61,196.88,"[{'word': 'when', 'start': 0.0, 'end': 0.247}, {'word': 'he', 'start': 0.296, 'end': 0.592}, {'word': 'has', 'start': 0.691, 'end': 1.283}, {'word': 'the', 'start': 1.382, 'end': 1.579}, {'word': 'chance', 'start': 1.678, 'end': 2.27}]",0.0,6b5924f8d7c144858c8c502f14f0151d-52.wav
cause i remember how much you,200.136,202.061,"[{'word': 'cause', 'start': 0.0, 'end': 0.149}, {'word': 'i', 'start': 0.198, 'end': 0.346}, {'word': 'remember', 'start': 0.395, 'end': 1.135}, {'word': 'how', 'start': 1.185, 'end': 1.333}, {'word': 'much', 'start': 1.382, 'end': 1.727}, {'word': 'you', 'start': 1.777, 'end': 1.925}]",0.0,6b5924f8d7c144858c8c502f14f0151d-54.wav
i woke up this morning,14.222,16.143,"[{'word': 'i', 'start': 0.0, 'end': 0.137}, {'word': 'woke', 'start': 0.229, 'end': 0.457}, {'word': 'up', 'start': 0.64, 'end': 0.96}, {'word': 'this', 'start': 1.052, 'end': 1.143}, {'word': 'morning', 'start': 1.326, 'end': 1.921}]",0.0,6b5a981e4499478295dda1337ff53d81-0.wav
named robin redbreast,35.807,37.408,"[{'word': 'named', 'start': 0.0, 'end': 0.183}, {'word': 'robin', 'start': 0.366, 'end': 0.732}, {'word': 'redbreast', 'start': 0.961, 'end': 1.601}]",0.0,6b5a981e4499478295dda1337ff53d81-7.wav
ooh ooh child,48.246,49.527,"[{'word': 'ooh', 'start': 0.0, 'end': 0.321}, {'word': 'ooh', 'start': 0.366, 'end': 0.595}, {'word': 'child', 'start': 0.732, 'end': 1.281}]",0.0,6b5a981e4499478295dda1337ff53d81-13.wav
to get together,51.173,53.277,"[{'word': 'to', 'start': 0.0, 'end': 0.183}, {'word': 'get', 'start': 0.366, 'end': 0.64}, {'word': 'together', 'start': 0.732, 'end': 2.104}]",0.0,6b5a981e4499478295dda1337ff53d81-15.wav
first of may,58.856,59.771,"[{'word': 'first', 'start': 0.0, 'end': 0.32}, {'word': 'of', 'start': 0.366, 'end': 0.457}, {'word': 'may', 'start': 0.549, 'end': 0.915}]",0.0,6b5a981e4499478295dda1337ff53d81-18.wav
with a crazy little thing called,81.173,83.094,"[{'word': 'with', 'start': 0.0, 'end': 0.137}, {'word': 'a', 'start': 0.183, 'end': 0.275}, {'word': 'crazy', 'start': 0.366, 'end': 0.686}, {'word': 'little', 'start': 0.732, 'end': 1.006}, {'word': 'thing', 'start': 1.098, 'end': 1.418}, {'word': 'called', 'start': 1.464, 'end': 1.921}]",0.0,6b5a981e4499478295dda1337ff53d81-27.wav
fucking outside,83.734,86.021,"[{'word': 'fucking', 'start': 0.0, 'end': 0.275}, {'word': 'outside', 'start': 0.366, 'end': 2.287}]",0.0,6b5a981e4499478295dda1337ff53d81-28.wav
i will brush the ants off,121.417,123.018,"[{'word': 'i', 'start': 0.0, 'end': 0.137}, {'word': 'will', 'start': 0.183, 'end': 0.275}, {'word': 'brush', 'start': 0.366, 'end': 0.549}, {'word': 'the', 'start': 0.732, 'end': 0.823}, {'word': 'ants', 'start': 0.915, 'end': 1.143}, {'word': 'off', 'start': 1.281, 'end': 1.601}]",0.0,6b5a981e4499478295dda1337ff53d81-40.wav
outside,130.563,132.576,"[{'word': 'outside', 'start': 0.0, 'end': 2.013}]",0.0,6b5a981e4499478295dda1337ff53d81-44.wav
outdoor fucking starts today,136.417,138.658,"[{'word': 'outdoor', 'start': 0.0, 'end': 0.549}, {'word': 'fucking', 'start': 0.732, 'end': 1.143}, {'word': 'starts', 'start': 1.464, 'end': 1.692}, {'word': 'today', 'start': 1.829, 'end': 2.241}]",0.0,6b5a981e4499478295dda1337ff53d81-47.wav
baby dip in your big toe,148.49,150.137,"[{'word': 'baby', 'start': 0.0, 'end': 0.275}, {'word': 'dip', 'start': 0.366, 'end': 0.458}, {'word': 'in', 'start': 0.549, 'end': 0.778}, {'word': 'your', 'start': 0.915, 'end': 1.006}, {'word': 'big', 'start': 1.098, 'end': 1.327}, {'word': 'toe', 'start': 1.464, 'end': 1.647}]",0.0,6b5a981e4499478295dda1337ff53d81-51.wav
grass below you sky above,153.246,155.533,"[{'word': 'grass', 'start': 0.0, 'end': 0.183}, {'word': 'below', 'start': 0.366, 'end': 0.732}, {'word': 'you', 'start': 0.915, 'end': 1.189}, {'word': 'sky', 'start': 1.464, 'end': 1.784}, {'word': 'above', 'start': 1.83, 'end': 2.287}]",0.0,6b5a981e4499478295dda1337ff53d81-53.wav
so we went to the park together,166.234,168.201,"[{'word': 'so', 'start': 0.0, 'end': 0.092}, {'word': 'we', 'start': 0.183, 'end': 0.275}, {'word': 'went', 'start': 0.366, 'end': 0.458}, {'word': 'to', 'start': 0.549, 'end': 0.64}, {'word': 'the', 'start': 0.732, 'end': 0.823}, {'word': 'park', 'start': 0.915, 'end': 1.143}, {'word': 'together', 'start': 1.281, 'end': 1.967}]",0.0,6b5a981e4499478295dda1337ff53d81-57.wav
we met all kinds of people and we,173.551,176.204,"[{'word': 'we', 'start': 0.0, 'end': 0.092}, {'word': 'met', 'start': 0.183, 'end': 0.32}, {'word': 'all', 'start': 0.366, 'end': 0.595}, {'word': 'kinds', 'start': 0.732, 'end': 1.189}, {'word': 'of', 'start': 1.281, 'end': 1.372}, {'word': 'people', 'start': 1.464, 'end': 2.104}, {'word': 'and', 'start': 2.195, 'end': 2.378}, {'word': 'we', 'start': 2.561, 'end': 2.653}]",0.0,6b5a981e4499478295dda1337ff53d81-59.wav
open your mind and your heart,195.868,197.332,"[{'word': 'open', 'start': 0.0, 'end': 0.275}, {'word': 'your', 'start': 0.366, 'end': 0.458}, {'word': 'mind', 'start': 0.549, 'end': 0.778}, {'word': 'and', 'start': 0.915, 'end': 1.006}, {'word': 'your', 'start': 1.098, 'end': 1.189}, {'word': 'heart', 'start': 1.281, 'end': 1.464}]",0.0,6b5a981e4499478295dda1337ff53d81-67.wav
first of may,211.051,211.966,"[{'word': 'first', 'start': 0.0, 'end': 0.32}, {'word': 'of', 'start': 0.366, 'end': 0.458}, {'word': 'may', 'start': 0.595, 'end': 0.915}]",0.0,6b5a981e4499478295dda1337ff53d81-74.wav
or at least your favorite lay,218.734,221.57,"[{'word': 'or', 'start': 0.0, 'end': 0.092}, {'word': 'at', 'start': 0.183, 'end': 0.275}, {'word': 'least', 'start': 0.366, 'end': 0.549}, {'word': 'your', 'start': 0.732, 'end': 0.915}, {'word': 'favorite', 'start': 1.098, 'end': 1.418}, {'word': 'lay', 'start': 1.647, 'end': 2.836}]",0.0,6b5a981e4499478295dda1337ff53d81-77.wav
grass below you sky above,229.298,231.631,"[{'word': 'grass', 'start': 0.0, 'end': 0.183}, {'word': 'below', 'start': 0.412, 'end': 0.823}, {'word': 'you', 'start': 0.961, 'end': 1.235}, {'word': 'sky', 'start': 1.509, 'end': 1.784}, {'word': 'above', 'start': 1.875, 'end': 2.333}]",0.0,6b5a981e4499478295dda1337ff53d81-81.wav
with a crazy little thing called,233.368,235.335,"[{'word': 'with', 'start': 0.0, 'end': 0.092}, {'word': 'a', 'start': 0.183, 'end': 0.275}, {'word': 'crazy', 'start': 0.366, 'end': 0.641}, {'word': 'little', 'start': 0.732, 'end': 1.006}, {'word': 'thing', 'start': 1.098, 'end': 1.327}, {'word': 'called', 'start': 1.464, 'end': 1.967}]",0.0,6b5a981e4499478295dda1337ff53d81-83.wav
fucking outside,235.929,237.576,"[{'word': 'fucking', 'start': 0.0, 'end': 0.275}, {'word': 'outside', 'start': 0.366, 'end': 1.647}]",0.0,6b5a981e4499478295dda1337ff53d81-84.wav
fucking outside,238.856,240.32,"[{'word': 'fucking', 'start': 0.0, 'end': 0.32}, {'word': 'outside', 'start': 0.366, 'end': 1.464}]",0.0,6b5a981e4499478295dda1337ff53d81-85.wav
oh so pretty,102.641,104.315,"[{'word': 'oh', 'start': 0.0, 'end': 0.471}, {'word': 'so', 'start': 0.576, 'end': 0.942}, {'word': 'pretty', 'start': 0.994, 'end': 1.674}]",0.0,6ba3f770bda34600bdb96ad8741d0b63-20.wav
a vacant,112.733,114.041,"[{'word': 'a', 'start': 0.0, 'end': 0.157}, {'word': 'vacant', 'start': 0.262, 'end': 1.308}]",0.0,6ba3f770bda34600bdb96ad8741d0b63-24.wav
oh so pretty ah,116.132,119.27,"[{'word': 'oh', 'start': 0.0, 'end': 0.523}, {'word': 'so', 'start': 0.628, 'end': 0.942}, {'word': 'pretty', 'start': 1.046, 'end': 1.674}, {'word': 'ah', 'start': 1.83, 'end': 3.138}]",0.0,6ba3f770bda34600bdb96ad8741d0b63-26.wav
and now,121.152,122.198,"[{'word': 'and', 'start': 0.0, 'end': 0.157}, {'word': 'now', 'start': 0.209, 'end': 1.046}]",0.0,6ba3f770bda34600bdb96ad8741d0b63-27.wav
pretty vacant,202.986,204.974,"[{'word': 'pretty', 'start': 0.0, 'end': 0.628}, {'word': 'vacant', 'start': 0.733, 'end': 1.988}]",0.0,6ba3f770bda34600bdb96ad8741d0b63-53.wav
i want you to want me,27.429,31.096,"[{'word': 'i', 'start': 0.0, 'end': 0.288}, {'word': 'want', 'start': 0.36, 'end': 1.366}, {'word': 'you', 'start': 1.51, 'end': 2.301}, {'word': 'to', 'start': 2.373, 'end': 2.444}, {'word': 'want', 'start': 2.516, 'end': 2.804}, {'word': 'me', 'start': 2.948, 'end': 3.667}]",0.0,6ba4ff86e01f4af8af069a46e401ff82-0.wav
oh,138.5,138.932,"[{'word': 'oh', 'start': 0.0, 'end': 0.432}]",0.0,6ba4ff86e01f4af8af069a46e401ff82-37.wav
the walls between,13.603,15.572,"[{'word': 'the', 'start': 0.0, 'end': 0.281}, {'word': 'walls', 'start': 0.375, 'end': 0.75}, {'word': 'between', 'start': 0.844, 'end': 1.969}]",0.0,6bac00dff30646e4843297b09b0e4087-0.wav
always pushing us apart,19.603,20.916,"[{'word': 'always', 'start': 0.0, 'end': 0.281}, {'word': 'pushing', 'start': 0.375, 'end': 0.656}, {'word': 'us', 'start': 0.797, 'end': 0.844}, {'word': 'apart', 'start': 0.938, 'end': 1.312}]",0.0,6bac00dff30646e4843297b09b0e4087-2.wav
nothing left but scars fight after fight,21.103,24.478,"[{'word': 'nothing', 'start': 0.0, 'end': 0.234}, {'word': 'left', 'start': 0.375, 'end': 0.656}, {'word': 'but', 'start': 0.75, 'end': 0.844}, {'word': 'scars', 'start': 0.938, 'end': 1.406}, {'word': 'fight', 'start': 1.5, 'end': 1.781}, {'word': 'after', 'start': 1.875, 'end': 2.531}, {'word': 'fight', 'start': 2.625, 'end': 3.375}]",0.0,6bac00dff30646e4843297b09b0e4087-3.wav
the space between,25.509,27.478,"[{'word': 'the', 'start': 0.0, 'end': 0.282}, {'word': 'space', 'start': 0.375, 'end': 0.657}, {'word': 'between', 'start': 0.75, 'end': 1.969}]",0.0,6bac00dff30646e4843297b09b0e4087-4.wav
you were waiting for me too,43.181,46.041,"[{'word': 'you', 'start': 0.0, 'end': 0.141}, {'word': 'were', 'start': 0.235, 'end': 0.422}, {'word': 'waiting', 'start': 0.516, 'end': 0.985}, {'word': 'for', 'start': 1.078, 'end': 1.36}, {'word': 'me', 'start': 1.453, 'end': 1.922}, {'word': 'too', 'start': 2.016, 'end': 2.86}]",0.0,6bac00dff30646e4843297b09b0e4087-10.wav
